age,population,S,S_new,Sgrad,H,H_new,Hgrad,discount,dH,W,dW,Wgrad,C,Cdot,L,SL,Y,Sav,A,Z,zc,uc,ul,v,q,V,WTP_S,WTP_H,WTP_W,WTP,year,location_name
112,0.0,0.0,0.0,0.0,0.5859720972717392,0.5860536980624571,8.160079071795057e-05,0.10883805264070856,-0.008179187501075595,3.5218036854220167,-0.01426964558644699,0.0034708094736775053,4096.5173743301275,-0.01474721642891847,3995.979735724231,0.774539706914018,14.158581542773819,-4082.3587927873537,-1.7772450178199506e-12,4018.3563897414124,0.22115854189515666,8.682225074727964e-07,3.0577092265840387e-06,57703.172025536405,8.049531521447069,0.0,0.0,0.0,0.0,0.0,1991,Argentina
113,0.0,0.0,0.0,0.0,0.581139797330474,0.5812339872821896,9.418995171550648e-05,0.10670397317716525,-0.008246638302001215,3.47113564844662,-0.014386956656650032,0.0035596184232478123,4056.8419016452076,-0.009685171344209908,4000.0,0.7751715824241213,0.0,-4056.8419016452076,-1.7772450178199506e-12,4012.68641011067,0.22238133939790747,8.748739997247995e-07,3.0592871415630185e-06,57238.99667213061,9.2771797036749,0.0,0.0,0.0,0.0,0.0,1991,Argentina
114,0.0,0.0,0.0,0.0,0.5763074973892091,0.576414276501922,0.00010677911271295137,0.10461173840898554,-0.008315210838188446,3.4207826170251274,-0.014506212525582528,0.0036470078911947645,4017.1993454654507,-0.009771777441876689,4000.0,0.7757483299025215,0.0,-4017.1993454654507,-1.7772450178199506e-12,4003.8484036048285,0.22350638196210162,8.822130750582217e-07,3.0649404804131517e-06,56723.35186235469,10.50978723928741,0.0,0.0,0.0,0.0,0.0,1991,Argentina
115,0.0,0.0,0.0,0.0,0.571475197447944,0.5715945657216545,0.00011936827371050729,0.1025605278519466,-0.008384933326664,3.3707452494260552,-0.014627461958569883,0.0037329730885877765,3977.5925382909363,-0.009859308380905183,4000.0,0.776329202429841,0.0,-3977.5925382909363,-1.7772450178199506e-12,3994.9734774104777,0.22464817483491417,8.896763457407938e-07,3.0706405542341405e-06,56208.07376713582,11.740598304420766,0.0,0.0,0.0,0.0,0.0,1991,Argentina
116,0.0,0.0,0.0,0.0,0.5666428975066788,0.5667748549413869,0.0001319574347080632,0.10054953710975156,-0.008455834938847514,3.3210242108539445,-0.014750755365027025,0.003817509156720522,3938.0219901236565,-0.009948366451904691,4000.0,0.7769142616750248,0.0,-3938.0219901236565,-1.7772450178199506e-12,3986.0611567331994,0.2258071179867657,8.972669916184168e-07,3.0763881062135804e-06,55693.165380928935,12.96959207779124,0.0,0.0,0.0,0.0,0.0,1991,Argentina
117,0.0,0.0,0.0,0.0,0.5618105975654137,0.5619551441611195,0.00014454659570573014,0.09857797755857996,-0.008527945841248542,3.2716201735820274,-0.01487614486833678,0.003900611165411405,3898.488220892649,-0.010038991486120632,4000.0,0.7775035707385274,0.0,-3898.488220892649,-1.7772450178199506e-12,3977.1109565592874,0.22698362454164464,9.049883020359745e-07,3.082183897406102e-06,55178.62974594886,14.19674730246644,0.0,0.0,0.0,0.0,0.0,1991,Argentina
118,0.0,0.0,0.0,0.0,0.5569782976241487,0.5571354333808519,0.00015713575670317503,0.09664507603782349,-0.008601297238260714,3.222533817088599,-0.015003684379316231,0.003982274111228534,3858.9917607213474,-0.01013122470388224,4000.0,0.7780971941977852,0.0,-3858.9917607213474,-1.7772450178199506e-12,3968.122381345819,0.22817812132944468,9.128436805919227e-07,3.0880287073140366e-06,54664.469953323845,15.42204227262354,0.0,0.0,0.0,0.0,0.0,1991,Argentina
119,0.0,0.0,0.0,0.0,0.5521459976828836,0.5523157226005844,0.00016972491770073095,0.09475007454688576,-0.00867592141718592,3.173765828197209,-0.015133429673501262,0.004062492915684501,3819.533150204289,-0.010225108775480324,4000.0,0.7786951981545311,0.0,-3819.533150204289,-1.7772450178199506e-12,3959.09492469854,0.22939104946659497,9.2083665014281e-07,3.0939233344920206e-06,54150.68914428642,16.645454819959458,0.0,0.0,0.0,0.0,0.0,1991,Argentina
120,0.0,0.0,0.0,0.0,0.5473136977416185,0.5474960118203168,0.00018231407869828686,0.09289222994792722,-0.008751851795619573,3.125316901220847,-0.01526543847246674,0.004141262423327241,3780.1129406936116,-0.010320687885264008,4000.0,0.7792976502840437,0.0,-3780.1129406936116,-1.7772450178199506e-12,3950.0280690369927,0.2306228649666967,9.289708580731827e-07,3.099868597176717e-06,53637.29051140389,17.866962299334695,0.0,0.0,0.0,0.0,0.0,1991,Argentina
121,0.0,0.0,0.0,0.0,0.5424813978003534,0.5426763010400493,0.00019490323969584278,0.09107081367443845,-0.008829122971350129,3.0771877381102386,-0.015399770529448607,0.004218577399799361,3740.7316945957405,-0.01041800779916514,4000.0,0.7799046198864291,0.0,-3740.7316945957405,-1.7772450178199506e-12,3940.921285246253,0.2318740393830019,9.372500818474518e-07,3.1058653339429396e-06,53124.27729984943,19.086541574005338,0.0,0.0,0.0,0.0,0.0,1991,Argentina
