"location_name","year","age_name","population"
"Iran (Islamic Republic of)",1990,"50 to 54",1582854.98665168
"Iran (Islamic Republic of)",1990,"55 to 59",1517218.90805941
"Iran (Islamic Republic of)",1990,"60 to 64",1214070.82889567
"Iran (Islamic Republic of)",1990,"65 to 69",915111.001878978
"Iran (Islamic Republic of)",1990,"70 to 74",583595.567959803
"Iran (Islamic Republic of)",1990,"75 to 79",206993.532761406
"Iran (Islamic Republic of)",1990,"0 to 0",1737973.99453826
"Iran (Islamic Republic of)",1990,"80 to 84",78423.3675757368
"Iran (Islamic Republic of)",1990,"85 to 89",61240.5796637005
"Iran (Islamic Republic of)",1990,"90 to 94",25620.1939990612
"Iran (Islamic Republic of)",1990,"95 to 99",4916.07740329752
"Turkey",1990,"1 to 4",5998597.81883127
"Turkey",1990,"5 to 9",6994090.0894605
"Turkey",1990,"10 to 14",7031224.16543024
"Turkey",1990,"15 to 19",6406102.96808943
"Turkey",1990,"20 to 24",5559574.77774971
"Turkey",1990,"25 to 29",4905979.25308161
"Turkey",1990,"30 to 34",4279344.12016573
"Turkey",1990,"35 to 39",3572713.28974414
"Turkey",1990,"40 to 44",2888910.25282568
"Turkey",1990,"45 to 49",2329391.75827082
"Turkey",1990,"50 to 54",2074424.19561566
"Turkey",1990,"55 to 59",1945917.72959736
"Turkey",1990,"60 to 64",1585767.90279148
"Turkey",1990,"65 to 69",1023789.76960889
"Turkey",1990,"70 to 74",607010.847298051
"Turkey",1990,"75 to 79",442023.329588386
"Turkey",1990,"0 to 0",1588724.21906195
"Turkey",1990,"80 to 84",304299.055442429
"Turkey",1990,"85 to 89",164441.845054053
"Turkey",1990,"90 to 94",57860.4353248527
"Turkey",1990,"95 to 99",12542.4448100423
"Bangladesh",1990,"1 to 4",14633487.2938409
"Bangladesh",1990,"5 to 9",16610627.8487075
