LE,HLE,param1,param2,dLE,WTP,WTP_1y
72.75,72.74,0.602520824878834,0.00041062223840313493,-17.104669886,-2.439641962904436e6,142630.1693727079
72.76,72.75,0.6019364736184278,0.0004103927757402716,-17.1213248259,-2.441508259309048e6,142600.4286546621
72.77,72.76,0.6013526907900278,0.000410163448982866,-17.1379958935,-2.4433759127750224e6,142570.69075980652
72.78,72.77,0.6007694758376503,0.00040993425804159925,-17.1546831043,-2.445244924310648e6,142540.9556937675
72.79,72.78,0.600186828205861,0.0004097052028274891,-17.171386474,-2.4471152949273675e6,142511.22346076477
72.8,72.79,0.5996047473397681,0.0004094762832540975,-17.1881060184,-2.4489870256367093e6,142481.49406427037
72.81,72.8,0.5990232326850338,0.00040924749923421187,-17.2048417528,-2.4508601174502643e6,142451.76751197953
72.82,72.81,0.5984422836878659,0.00040901885067895846,-17.2215936932,-2.4527345713814804e6,142422.04380596612
72.83,72.82,0.5978618997950209,0.0004087903375005711,-17.238361855,-2.454610388442818e6,142392.322953289
72.84,72.83,0.5972820804537959,0.00040856195961266753,-17.2551462542,-2.456487569651462e6,142362.6049563932
72.85,72.84,0.596702825112044,0.0004083337169252669,-17.2719469062,-2.458366116022579e6,142332.88982263574
72.86,72.85,0.5961241332181532,0.0004081056093544789,-17.2887638269,-2.4602460285699447e6,142303.17755523906
72.87,72.86,0.5955460042210614,0.00040787763681142956,-17.3055970319,-2.4621273083125586e6,142273.4681602741
72.88,72.87,0.594968437570254,0.0004076497992064148,-17.3224465372,-2.464009956269e6,142243.76164057036
72.89,72.88,0.5943914327157513,0.000407422096456375,-17.3393123583,-2.46589397345855e6,142214.05800318104
72.9,72.89,0.5938149891081248,0.00040719452847105207,-17.3561945111,-2.4677793608981427e6,142184.3572518098
72.91,72.9,0.593239106198486,0.00040696709516434087,-17.3730930114,-2.469666119609829e6,142154.65939135107
72.92,72.91,0.5926637834384876,0.0004067397964481983,-17.390007875,-2.4715542506171623e6,142124.9644268584
72.93,72.92,0.5920890202803224,0.0004065126322384574,-17.4069391178,-2.4734437549378583e6,142095.27236230535
72.94,72.93,0.5915148161767303,0.0004062856024437524,-17.4238867556,-2.475334633598016e6,142065.5832030387
72.95,72.94,0.5909411705809829,0.00040605870698240827,-17.4408508043,-2.4772268876217175e6,142035.8969535456
72.96,72.95,0.5903680829468994,0.00040583194576305934,-17.4578312796,-2.4791205180335995e6,142006.21362004604
72.97,72.96,0.589795552728834,0.0004056053187023693,-17.4748281975,-2.4810155258548604e6,141976.53320619208
